date,State,District,Sub-District,NewCases,CumCases,Recovered,CumRecovered,Deaths,CumDeaths,ActiveCases
02/07/2021,Selangor,Gombak,Hulu Kelang,54,3626,35,3456,0,48,122
02/07/2021,Selangor,Gombak,Kuang,0,2259,28,2222,0,11,26
02/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
02/07/2021,Selangor,Gombak,Rawang,62,5270,62,5107,0,41,122
02/07/2021,Selangor,Gombak,Setapak,64,2256,40,2118,0,18,120
02/07/2021,Selangor,Hulu Langat,Ampang,241,11928,151,11322,0,131,475
02/07/2021,Selangor,Hulu Langat,Beranang,37,995,24,923,0,13,59
02/07/2021,Selangor,Hulu Langat,Cheras,227,11732,98,11248,2,118,366
02/07/2021,Selangor,Hulu Langat,Hulu Langat,26,2229,28,2145,0,23,61
02/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Langat,Kajang,173,18847,162,18095,2,119,633
02/07/2021,Selangor,Hulu Langat,Penjara,33,2411,37,2330,0,0,81
02/07/2021,Selangor,Hulu Langat,Semenyih,72,4937,56,4763,2,33,141
02/07/2021,Selangor,Hulu Selangor,Ampang Pechah,3,432,1,415,0,4,13
02/07/2021,Selangor,Hulu Selangor,Batang Kali,13,482,1,457,0,4,21
02/07/2021,Selangor,Hulu Selangor,Buluh Telur,0,1,0,1,0,0,0
02/07/2021,Selangor,Hulu Selangor,Hulu Bernam,4,191,0,182,0,3,6
02/07/2021,Selangor,Hulu Selangor,Hulu Yam,15,343,0,81,0,1,261
02/07/2021,Selangor,Hulu Selangor,Kalumpang,7,154,0,140,0,0,14
02/07/2021,Selangor,Hulu Selangor,Kerling,1,70,2,69,0,0,1
02/07/2021,Selangor,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Selangor,Penjara,0,276,0,276,0,0,0
02/07/2021,Selangor,Hulu Selangor,Pertak,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Selangor,Rasa,10,218,0,191,0,0,27
02/07/2021,Selangor,Hulu Selangor,Serendah,51,3893,33,3709,0,25,159
02/07/2021,Selangor,Hulu Selangor,Sungai Gumut,0,0,0,0,0,0,0
02/07/2021,Selangor,Hulu Selangor,Sungai Tinggi,0,91,0,91,0,0,0
02/07/2021,Selangor,Klang,Kapar,99,20425,104,20255,0,51,119
02/07/2021,Selangor,Klang,Klang,348,31767,330,31078,8,188,501
02/07/2021,Selangor,Klang,Penjara,0,13,0,13,0,0,0
02/07/2021,Selangor,Kuala Langat,Bandar,0,384,6,367,0,3,14
02/07/2021,Selangor,Kuala Langat,Batu,1,335,3,324,0,6,5
02/07/2021,Selangor,Kuala Langat,Jugra,2,375,0,360,0,2,13
02/07/2021,Selangor,Kuala Langat,Kelanang,0,154,0,142,0,1,11
02/07/2021,Selangor,Kuala Langat,Morib,8,483,4,471,0,8,4
02/07/2021,Selangor,Kuala Langat,Penjara,0,9,0,9,0,0,0
02/07/2021,Selangor,Kuala Langat,Tanjung 12(1),29,4500,58,4407,0,21,72
02/07/2021,Selangor,Kuala Langat,Tanjung 12(2),13,1705,32,1684,0,8,13
02/07/2021,Selangor,Kuala Langat,Telok Panglima Garang,52,5601,16,5498,1,27,76
02/07/2021,Selangor,Kuala Selangor,Api-Api,2,162,4,152,0,1,9
02/07/2021,Selangor,Kuala Selangor,Bestari Jaya,14,1556,13,1498,0,6,52
02/07/2021,Selangor,Kuala Selangor,Hulu Tinggi,0,0,0,0,0,0,0
02/07/2021,Selangor,Kuala Selangor,Jeram,4,1156,4,1118,0,10,28
02/07/2021,Selangor,Kuala Selangor,Kuala Selangor,2,574,0,547,0,5,22
02/07/2021,Selangor,Kuala Selangor,ljok,52,3742,36,3613,0,25,104
02/07/2021,Selangor,Kuala Selangor,Pasangan,1,46,0,41,0,0,5
02/07/2021,Selangor,Kuala Selangor,Penjara,0,7,0,7,0,0,0
02/07/2021,Selangor,Kuala Selangor,Tanjong Karang,8,693,10,667,0,7,19
02/07/2021,Selangor,Kuala Selangor,Ujong Permatang,0,132,0,128,0,2,2
02/07/2021,Selangor,Petaling,Bukit Raja,37,5927,84,5851,0,24,52
02/07/2021,Selangor,Petaling,Damansara,259,25244,311,24686,4,123,435
02/07/2021,Selangor,Petaling,Penjara,0,18,0,17,0,0,1
02/07/2021,Selangor,Petaling,Petaling,323,27295,319,26600,4,257,438
02/07/2021,Selangor,Petaling,Sungai Buloh,179,17394,244,16987,4,83,324
02/07/2021,Selangor,Sabak Bernam,Bagan Nakhoda Omar,0,122,0,117,0,4,1
02/07/2021,Selangor,Sabak Bernam,Panchang Bedena,3,254,0,241,0,0,13
02/07/2021,Selangor,Sabak Bernam,Pasir Panjang,6,305,1,284,0,1,20
02/07/2021,Selangor,Sabak Bernam,Penjara,0,4,0,4,0,0,0
02/07/2021,Selangor,Sabak Bernam,Sabak,7,410,0,396,0,4,10
02/07/2021,Selangor,Sabak Bernam,Sungai Panjang,0,258,0,244,0,3,11
02/07/2021,Selangor,Sepang,Dengkil,178,9766,71,9374,0,42,350
02/07/2021,Selangor,Sepang,Labu,30,6158,50,6094,0,10,54
02/07/2021,Selangor,Sepang,Penjara,0,83,0,83,0,0,0
02/07/2021,Selangor,Sepang,Sepang,48,1607,34,1520,0,9,78
03/07/2021,Selangor,Gombak,Batu,149,12403,174,12029,4,126,248
03/07/2021,Selangor,Gombak,Hulu Kelang,61,3687,79,3535,1,49,103
03/07/2021,Selangor,Gombak,Kuang,42,2301,11,2233,0,11,57
03/07/2021,Selangor,Gombak,Penjara,0,241,0,238,0,1,0
03/07/2021,Selangor,Gombak,Rawang,91,5361,67,5174,4,45,142
03/07/2021,Selangor,Gombak,Setapak,73,2329,63,2181,2,20,128
03/07/2021,Selangor,Hulu Langat,Ampang,290,12218,117,11439,3,134,645
03/07/2021,Selangor,Hulu Langat,Beranang,28,1023,12,935,0,13,75
03/07/2021,Selangor,Hulu Langat,Cheras,193,11925,90,11338,5,123,464
03/07/2021,Selangor,Hulu Langat,Hulu Langat,25,2254,8,2153,1,24,77
03/07/2021,Selangor,Hulu Langat,Hulu Semenyih,0,0,0,0,0,0,0
03/07/2021,Selangor,Hulu Langat,Kajang,327,19174,102,18197,3,122,855
03/07/2021,Selangor,Hulu Langat,Penjara,14,2425,13,2343,0,0,82
03/07/2021,Selangor,Hulu Langat,Semenyih,158,5095,34,4797,0,33,265
03/07/2021,Selangor,Hulu Selangor,Ampang Pechah,0,432,2,417,0,4,11
03/07/2021,Selangor,Hulu Selangor,Batang Kali,6,488,5,462,0,4,22
03/07/2021,Selangor,Hulu Selangor,Buluh Telur,0,1,0,1,0,0,0
03/07/2021,Selangor,Hulu Selangor,Hulu Bernam,0,191,2,184,0,3,4
03/07/2021,Selangor,Hulu Selangor,Hulu Yam,1,344,0,81,1,2,261
03/07/2021,Selangor,Hulu Selangor,Kalumpang,1,155,3,143,0,0,12
03/07/2021,Selangor,Hulu Selangor,Kerling,0,70,0,69,0,0,1
03/07/2021,Selangor,Hulu Selangor,Kuala Kalumpang,0,0,0,0,0,0,0
03/07/2021,Selangor,Hulu Selangor,Penjara,0,276,0,276,0,0,0
03/07/2021,Selangor,Hulu Selangor,Pertak,0,0,0,0,0,0,0
03/07/2021,Selangor,Hulu Selangor,Rasa,6,224,7,198,0,0,26
03/07/2021,Selangor,Hulu Selangor,Serendah,62,3955,59,3768,1,26,161
03/07/2021,Selangor,Hulu Selangor,Sungai Gumut,0,0,0,0,0,0,0
03/07/2021,Selangor,Hulu Selangor,Sungai Tinggi,0,91,0,91,0,0,0
03/07/2021,Selangor,Klang,Kapar,60,20485,113,20368,2,53,64
03/07/2021,Selangor,Klang,Klang,383,32150,490,31568,0,188,394
03/07/2021,Selangor,Klang,Penjara,0,13,0,13,0,0,0
03/07/2021,Selangor,Kuala Langat,Bandar,1,385,2,369,0,3,13
03/07/2021,Selangor,Kuala Langat,Batu,0,335,2,326,0,6,3
03/07/2021,Selangor,Kuala Langat,Jugra,5,380,2,362,0,2,16
03/07/2021,Selangor,Kuala Langat,Kelanang,0,154,10,152,0,1,1
03/07/2021,Selangor,Kuala Langat,Morib,2,485,2,473,1,9,3
03/07/2021,Selangor,Kuala Langat,Penjara,0,9,0,9,0,0,0
03/07/2021,Selangor,Kuala Langat,Tanjung 12(1),32,4532,47,4454,0,21,57
03/07/2021,Selangor,Kuala Langat,Tanjung 12(2),32,1737,16,1700,0,8,29
03/07/2021,Selangor,Kuala Langat,Telok Panglima Garang,13,5614,38,5536,0,27,51
03/07/2021,Selangor,Kuala Selangor,Api-Api,0,162,0,152,0,1,9
03/07/2021,Selangor,Kuala Selangor,Bestari Jaya,17,1573,1,1499,0,6,68
03/07/2021,Selangor,Kuala Selangor,Hulu Tinggi,0,0,0,0,0,0,0
03/07/2021,Selangor,Kuala Selangor,Jeram,12,1168,3,1121,0,10,37
03/07/2021,Selangor,Kuala Selangor,Kuala Selangor,3,577,1,548,0,5,24
03/07/2021,Selangor,Kuala Selangor,ljok,35,3777,27,3640,0,25,112
03/07/2021,Selangor,Kuala Selangor,Pasangan,0,46,0,41,0,0,5
03/07/2021,Selangor,Kuala Selangor,Penjara,0,7,0,7,0,0,0
03/07/2021,Selangor,Kuala Selangor,Tanjong Karang,1,694,4,671,0,7,16
03/07/2021,Selangor,Kuala Selangor,Ujong Permatang,0,132,0,128,0,2,2
03/07/2021,Selangor,Petaling,Bukit Raja,38,5965,57,5908,1,25,32
03/07/2021,Selangor,Petaling,Damansara,222,25466,335,25021,7,130,315
03/07/2021,Selangor,Petaling,Penjara,0,18,0,17,0,0,1
03/07/2021,Selangor,Petaling,Petaling,251,27546,457,27057,10,267,222
03/07/2021,Selangor,Petaling,Sungai Buloh,96,17490,202,17189,5,88,213
03/07/2021,Selangor,Sabak Bernam,Bagan Nakhoda Omar,0,122,0,117,0,4,1
03/07/2021,Selangor,Sabak Bernam,Panchang Bedena,5,259,3,244,0,0,15
03/07/2021,Selangor,Sabak Bernam,Pasir Panjang,4,309,3,287,0,1,21
03/07/2021,Selangor,Sabak Bernam,Penjara,0,4,0,4,0,0,0
03/07/2021,Selangor,Sabak Bernam,Sabak,2,412,0,396,0,4,12
03/07/2021,Selangor,Sabak Bernam,Sungai Panjang,2,260,1,245,0,3,12
03/07/2021,Selangor,Sepang,Dengkil,167,9933,35,9409,0,42,482
03/07/2021,Selangor,Sepang,Labu,54,6212,28,6122,0,10,80
03/07/2021,Selangor,Sepang,Penjara,0,83,0,83,0,0,0
03/07/2021,Selangor,Sepang,Sepang,81,1688,11,1531,0,9,148
04/07/2021,Selangor,Gombak,Batu,117,12520,99,12128,0,126,266
04/07/2021,Selangor,Gombak,Hulu Kelang,26,3713,32,3567,0,49,97
04/07/2021,Selangor,Gombak,Kuang,45,2346,26,2259,0,11,76
