date,States,District,Local Cases,Import Cases,Total Cases
13/07/2021,Selangor,Gombak,1010,0,1010
13/07/2021,Selangor,Hulu Langat,968,0,968
13/07/2021,Selangor,Hulu Selangor,248,0,248
13/07/2021,Selangor,Klang,706,0,706
13/07/2021,Selangor,Kuala Selangor,154,0,154
13/07/2021,Selangor,Petaling,1654,0,1654
13/07/2021,Selangor,Sepang,288,0,288
14/07/2021,Selangor,Hulu Selangor,147,7,154
14/07/2021,Selangor,Gombak,968,0,968
14/07/2021,Selangor,Hulu Langat,1362,0,1362
14/07/2021,Selangor,Klang,463,0,463
14/07/2021,Selangor,Kuala Langat,144,0,144
14/07/2021,Selangor,Kuala Selangor,165,0,165
14/07/2021,Selangor,Petaling,1590,0,1590
14/07/2021,Selangor,Sabak Bernam,16,0,16
14/07/2021,Selangor,Sepang,189,0,189
15/07/2021,Selangor,Sabak Bernam,14,1,15
15/07/2021,Selangor,Kuala Selangor,160,6,166
15/07/2021,Selangor,Gombak,1066,0,1066
15/07/2021,Selangor,Hulu Langat,977,0,977
15/07/2021,Selangor,Hulu Selangor,179,0,179
15/07/2021,Selangor,Klang,1169,0,1169
15/07/2021,Selangor,Kuala Langat,234,0,234
15/07/2021,Selangor,Petaling,2104,0,2104
15/07/2021,Selangor,Sepang,210,0,210
16/07/2021,Selangor,Sabak Bernam,4,2,6
16/07/2021,Selangor,Gombak,812,0,812
16/07/2021,Selangor,Hulu Langat,1197,0,1197
16/07/2021,Selangor,Hulu Selangor,102,0,102
16/07/2021,Selangor,Klang,1103,0,1103
16/07/2021,Selangor,Kuala Langat,293,0,293
16/07/2021,Selangor,Kuala Selangor,165,0,165
16/07/2021,Selangor,Petaling,1700,0,1700
16/07/2021,Selangor,Sepang,134,0,134
17/07/2021,Selangor,Kuala Selangor,170,2,172
17/07/2021,Selangor,Sabak Bernam,18,2,20
17/07/2021,Selangor,Gombak,794,0,794
17/07/2021,Selangor,Hulu Langat,1140,0,1140
17/07/2021,Selangor,Hulu Selangor,222,0,222
17/07/2021,Selangor,Klang,446,0,446
17/07/2021,Selangor,Kuala Langat,136,0,136
17/07/2021,Selangor,Petaling,1873,0,1873
17/07/2021,Selangor,Sepang,182,0,182
18/07/2021,Selangor,Sabak Bernam,5,2,7
18/07/2021,Selangor,Gombak,738,0,738
18/07/2021,Selangor,Hulu Langat,603,0,603
18/07/2021,Selangor,Hulu Selangor,79,0,79
18/07/2021,Selangor,Klang,903,0,903
18/07/2021,Selangor,Kuala Langat,143,0,143
18/07/2021,Selangor,Kuala Selangor,133,0,133
18/07/2021,Selangor,Petaling,2127,0,2127
18/07/2021,Selangor,Sepang,95,0,95
19/07/2021,Selangor,Gombak,357,1,358
19/07/2021,Selangor,Hulu Langat,1220,1,1221
19/07/2021,Selangor,Kuala Langat,124,1,125
19/07/2021,Selangor,Hulu Selangor,98,37,135
19/07/2021,Selangor,Klang,355,0,355
19/07/2021,Selangor,Kuala Selangor,142,0,142
19/07/2021,Selangor,Petaling,1876,0,1876
19/07/2021,Selangor,Sabak Bernam,22,0,22
19/07/2021,Selangor,Sepang,170,0,170
20/07/2021,Selangor,Hulu Langat,1580,1,1581
20/07/2021,Selangor,Kuala Selangor,100,1,101
20/07/2021,Selangor,Kuala Langat,347,2,349
20/07/2021,Selangor,Gombak,503,0,503
20/07/2021,Selangor,Hulu Selangor,168,0,168
20/07/2021,Selangor,Klang,1012,0,1012
20/07/2021,Selangor,Petaling,1545,0,1545
20/07/2021,Selangor,Sabak Bernam,48,0,48
20/07/2021,Selangor,Sepang,217,0,217
21/07/2021,Selangor,Sabak Bernam,2,3,5
21/07/2021,Selangor,Gombak,710,0,710
21/07/2021,Selangor,Hulu Langat,1703,0,1703
21/07/2021,Selangor,Hulu Selangor,146,0,146
21/07/2021,Selangor,Klang,665,0,665
21/07/2021,Selangor,Kuala Langat,302,0,302
21/07/2021,Selangor,Kuala Selangor,146,0,146
21/07/2021,Selangor,Petaling,1494,0,1494
21/07/2021,Selangor,Sepang,379,0,379
22/07/2021,Selangor,Kuala Selangor,170,1,171
22/07/2021,Selangor,Sabak Bernam,17,6,23
22/07/2021,Selangor,Gombak,1100,0,1100
22/07/2021,Selangor,Hulu Langat,1240,0,1240
22/07/2021,Selangor,Hulu Selangor,181,0,181
22/07/2021,Selangor,Klang,1295,0,1295
22/07/2021,Selangor,Kuala Langat,280,0,280
22/07/2021,Selangor,Petaling,1633,0,1633
22/07/2021,Selangor,Sepang,126,0,126
23/07/2021,Selangor,Sabak Bernam,74,4,78
23/07/2021,Selangor,Kuala Langat,393,6,399
23/07/2021,Selangor,Gombak,1133,0,1133
23/07/2021,Selangor,Hulu Langat,1711,0,1711
23/07/2021,Selangor,Hulu Selangor,269,0,269
23/07/2021,Selangor,Klang,1982,0,1982
23/07/2021,Selangor,Kuala Selangor,313,0,313
23/07/2021,Selangor,Petaling,1535,0,1535
23/07/2021,Selangor,Sepang,252,0,252
24/07/2021,Selangor,Gombak,1116,1,1117
24/07/2021,Selangor,Kuala Selangor,263,1,264
24/07/2021,Selangor,Sabak Bernam,83,1,84
24/07/2021,Selangor,Hulu Langat,1277,0,1277
24/07/2021,Selangor,Hulu Selangor,151,0,151
24/07/2021,Selangor,Klang,1309,0,1309
24/07/2021,Selangor,Kuala Langat,333,0,333
24/07/2021,Selangor,Petaling,2612,0,2612
24/07/2021,Selangor,Sepang,204,0,204
25/07/2021,Selangor,Sabak Bernam,55,1,56
25/07/2021,Selangor,Gombak,396,0,396
25/07/2021,Selangor,Hulu Langat,1814,0,1814
25/07/2021,Selangor,Hulu Selangor,322,0,322
25/07/2021,Selangor,Klang,2377,0,2377
25/07/2021,Selangor,Kuala Langat,280,0,280
25/07/2021,Selangor,Kuala Selangor,166,0,166
